ERA5,backs
0.992187977,1.871860315
1.024410009,1.648446295
1.306640029,2.156978983
1.595700026,2.177476909
1.681640029,2.497017206
1.553709984,1.659605741
1.484380007,1.78289783
1.351559997,1.815599034
1.413089991,1.921457277
1.541990042,1.850542268
1.035159945,1.768059467
0.992187977,1.761455498
1.024410009,2.464590994
1.306640029,2.147970332
1.595700026,2.549093674
1.681640029,1.850874735
1.553709984,1.830997783
1.484380007,1.610400136
1.351559997,1.719129398
1.413089991,1.708061874
1.397459984,1.751594547
1.615229964,2.378249207
1.541990042,2.027224653
1.284180045,1.909091449
1.111330032,1.805573814
1.143550038,1.912130684
1.427729964,2.059037981
1.740229964,2.39862709
1.747069955,2.022537668
1.698240042,1.718527021
1.729490042,2.027765133
1.800780058,1.696739566
1.727540016,1.633190157
1.595700026,1.778976119
1.982419968,2.126717708
1.888669968,2.145252873
1.658200026,2.027170344
1.580080032,2.133152634
1.43848002,2.051516651
1.566409945,1.864905695
1.78026998,1.88826313
1.862300038,2.067013374
1.892580032,2.13909721
1.962890029,2.450025348
2.0302701,2.064332761
2.152339935,2.078051301
2.251950026,1.857916601
2.208980083,1.856509834
2.019530058,1.769221381
2.044919968,1.715547268
1.982419968,2.248859087
1.888669968,2.29966925
1.658200026,2.168479864
1.580080032,2.087004467
1.43848002,2.267627583
1.566409945,1.984885736
1.78026998,2.132367162
1.862300038,2.131286173
1.892580032,2.180573264
1.962890029,2.568408628
2.0302701,2.061470799
2.152339935,2.048948407
2.251950026,2.023159362
2.208980083,2.324122246
2.019530058,1.738293005
2.4052701,2.60675693
2.259769917,2.044717061
2.021480083,1.860426604
1.934569955,1.798417053
1.87598002,2.003524512
1.784180045,2.002417531
1.735350013,1.978733605
1.632809997,2.20903658
1.599609971,2.145528083
1.612300038,2.102093818
1.695309997,1.853129517
1.766600013,2.113881526
1.924800038,2.120036299
1.998049974,2.067051984
2.110349894,2.092415001
2.211910009,1.923237591
2.167969942,2.053584203
1.796880007,1.627290507
1.760740042,2.024254688
2.584959984,1.760822016
2.38086009,1.997026077
2.228519917,1.807231564
1.963870049,1.822726065
1.849609971,1.829437075
1.722659945,1.980635568
1.649410009,2.063066885
1.617190003,2.082792903
1.527340055,1.930726003
1.473629951,2.033459827
1.446290016,1.868456397
1.539059997,2.08481083
1.638669968,2.122470094
1.819339991,2.183325901
1.90625,1.681962781
1.997069955,1.974418499
2.022459984,2.15910124
2.010740042,1.955359905
1.980469942,1.882055728
2.001950026,2.020531391
2.565429926,1.895035874
2.584959984,1.879304075
2.38086009,2.623180228
2.228519917,1.94964525
1.963870049,1.994883703
1.758790016,2.050506671
1.722659945,2.114856289
1.649410009,2.021830964
1.617190003,2.029135165
1.527340055,2.053307403
1.451169968,2.102077041
1.446290016,2.315339731
1.539059997,2.041878043
1.638669968,2.327432642
1.819339991,2.352064396
1.955080032,2.037083202
1.997069955,2.133937593
2.022459984,1.83305703
2.010740042,1.748925067
1.980469942,2.001184624
2.001950026,2.201366678
2.070310116,2.272967007
2.666990042,1.412560795
2.565429926,2.076450906
2.527339935,2.395959893
2.355469942,1.488167692
2.252929926,2.026302766
2.021480083,2.143292314
1.691409945,2.107210453
1.636719942,1.688738732
1.634770036,1.928099578
1.566409945,2.071403739
1.454100013,2.42499834
1.360350013,2.110760183
1.365229964,2.128643382
1.430660009,2.165852944
1.537109971,2.361355462
1.722659945,1.94684674
1.845700026,1.968500125
1.891600013,2.077827653
1.958979964,1.878274714
1.961910009,1.917259398
2.148439884,2.015778109
2.238280058,2.733222952
2.166990042,2.035033593
1.902340055,1.782925666
2.401370049,1.355424314
2.4052701,1.774197012
2.420900106,0.594002791
2.459959984,1.706363484
2.338870049,1.491548032
2.2509799,2.47448564
2.0322299,2.221012904
1.819339991,2.174841348
1.739259958,2.07019302
1.722659945,2.151170651
1.694339991,2.561382983
1.581050038,2.209533683
1.458979964,2.120193734
1.417969942,2.187730022
1.46875,2.337792093
1.541990042,2.192860078
1.661129951,2.11132428
1.845700026,2.278521802
1.891600013,2.168621152
1.958979964,1.992152944
1.961910009,2.022391665
2.148439884,2.307549256
2.238280058,2.753249879
2.166990042,1.988306921
1.902340055,2.270287285
2.401370049,1.70043082
2.4052701,2.058945446
2.420900106,1.204315618
2.459959984,2.134196187
2.338870049,1.567687114
2.140619993,1.638228173
2.0322299,2.609144584
1.819339991,2.285649337
1.739259958,2.218485992
1.722659945,2.516429935
1.694339991,2.312918047
1.581050038,1.766307527
1.458979964,2.45038745
1.417969942,2.340774367
1.46875,2.062893741
1.541990042,2.419193734
1.661129951,2.333290453
1.727540016,2.132858861
1.773440003,1.941352646
1.902340055,1.820609144
1.983399987,2.250281932
2.163089991,2.544070822
2.1552701,2.498030682
2.086910009,1.857160739
1.989259958,2.202286183
1.971680045,2.099273101
2.172849894,1.011283609
2.222660065,1.557618271
2.30663991,2.294054225
2.327150106,2.127756214
2.296880007,1.493278709
2.165040016,2.279720372
2.03711009,2.328503701
1.894530058,2.095418508
1.880859971,2.471630123
1.832030058,2.420566477
1.806640029,1.656943803
1.690430045,1.929286974
1.541990042,2.348470603
1.461910009,2.543280719
1.475589991,2.501874063
1.490229964,2.345280339
1.540040016,2.592501157
1.605469942,2.192143429
1.645509958,1.966782579
1.793949962,1.964085206
1.880859971,2.397840755
2.064450026,2.261787697
2.0634799,1.888024466
2.101560116,1.799600441
2.1884799,1.861182378
2.21288991,2.095461585
2.028320074,2.098149356
2.074219942,0.77356007
2.15038991,2.544202347
2.180660009,1.79857891
2.178709984,1.721109923
2.113280058,2.192949115
2.052730083,2.405220025
1.953119993,2.191603498
1.926759958,2.218455187
1.887699962,2.112249549
1.752930045,1.959269683
1.690430045,1.987891846
1.541990042,2.553664993
1.461910009,2.751823907
1.475589991,2.543116287
1.490229964,2.493934421
1.540040016,2.634331281
1.605469942,2.309471437
1.645509958,1.952344204
1.793949962,1.977573001
1.880859971,1.893798584
2.064450026,1.920241669
2.0634799,1.7376001
2.101560116,1.943235448
2.1884799,1.889664646
2.21288991,2.069945072
2.028320074,2.305544389
2.074219942,2.772888516
2.15038991,2.370044955
2.180660009,1.700597787
2.178709984,1.945309328
2.113280058,2.181604746
2.052730083,2.361905511
1.953119993,2.351891959
1.926759958,2.427223555
1.887699962,2.143941795
1.817379951,2.230374559
1.74901998,2.327197779
1.605469942,2.411290971
1.53223002,2.546714547
1.463870049,2.391517013
1.463870049,2.518026441
1.483399987,2.560907493
1.527340055,2.287097781
1.584959984,2.037948975
1.732419968,2.001933244
1.817379951,1.982087919
1.971680045,2.013240337
2.047849894,1.924085937
2.174799919,1.898661438
2.266599894,1.857342917
2.28125,2.064215095
1.953119993,2.550801805
1.976559997,2.229610225
2.00586009,1.736797334
2.010740042,1.98976134
1.984380007,2.403221928
1.965819955,2.22117503
1.983399987,2.465361974
1.988280058,2.159166353
1.976559997,1.922283871
1.878909945,2.486210073
1.819339991,3.294305046
1.677729964,2.250699622
1.622069955,2.372143449
1.533200026,2.50737929
1.523440003,2.345989537
1.505859971,2.442526385
1.520509958,2.29903798
1.595700026,2.022016811
1.75098002,2.142843611
1.831050038,2.205251616
1.990229964,1.921611453
2.070310116,2.101511104
2.199219942,1.804390686
2.331049919,1.701070775
2.399410009,1.947898009
1.784180045,2.178862821
1.809569955,1.982597721
1.849609971,2.147789714
1.849609971,2.051298504
1.875,2.232258981
1.965819955,2.205701176
1.983399987,2.219361591
1.982419968,1.93655816
1.976559997,2.363154322
1.878909945,2.205632518
1.819339991,2.405951573
1.677729964,2.131574874
1.622069955,2.314072965
1.533200026,2.697030409
1.523440003,2.352516132
1.505859971,2.221804677
1.520509958,2.207333906
1.595700026,2.404082381
1.75098002,1.92587868
1.831050038,2.01261662
1.990229964,2.119433204
2.070310116,1.936933857
2.199219942,1.588959346
2.331049919,1.824846864
2.399410009,2.326458044
2.4072299,2.701571884
1.784180045,2.107459113
1.809569955,2.120520183
1.849609971,1.922019379
1.849609971,2.15220127
1.875,2.468022285
1.901370049,2.121829903
2.001950026,1.764273761
2.085939884,2.014270301
2.09375,2.011706971
2.019530058,1.846936177
1.941409945,2.210004763
1.78026998,2.150398181
1.706050038,2.22130921
1.62401998,2.379318822
1.573240042,2.568242861
1.550780058,2.524424381
1.548830032,2.306433033
1.600589991,2.166488894
1.748049974,2.186017371
1.823240042,2.145450801
1.965819955,2.2241321
2.041019917,1.756510262
2.15625,1.947790917
2.3740201,2.253083611
2.481450081,2.030557974
2.454099894,1.882813773
1.736330032,1.827805393
1.778319955,1.982975669
1.841799974,2.284090497
1.869140029,2.306052652
1.944339991,2.229070244
2.073240042,2.03956858
2.135740042,1.72350921
2.236330032,1.668421725
2.226560116,2.679681539
2.15625,2.801684437
2.075200081,1.928303779
1.916020036,1.502206932
1.839840055,2.197661929
1.772459984,2.221996535
1.731449962,2.410215612
1.710940003,2.237996272
1.728520036,2.980906576
1.753909945,2.262917766
1.87598002,2.177872744
1.93651998,2.037931824
2.053709984,2.187576905
2.138669968,2.154535303
2.328119993,1.898080448
2.496089935,2.489277035
2.4365201,1.916994427
2.204099894,2.190731711
1.756839991,2.008003651
1.8125,1.951019902
1.841799974,2.448966769
1.869140029,2.325376832
1.944339991,2.1119609
2.073240042,1.970818249
2.135740042,2.201036815
2.236330032,1.965467581
2.226560116,1.697420185
2.15625,1.804811815
2.075200081,1.761504707
1.916020036,2.171220158
1.839840055,2.299851183
1.772459984,2.460986546
1.731449962,2.599505441
1.710940003,2.701265734
1.728520036,2.285643094
1.753909945,2.458626712
1.87598002,2.279612574
1.93651998,1.931112282
2.053709984,2.355086832
1.8125,2.183213358
1.93848002,2.250108655
2.066410065,2.291901718
2.122070074,1.895811272
2.239259958,1.906390548
2.288089991,1.764413737
2.355469942,1.930099296
2.352540016,1.8075995
2.257810116,1.9783982
2.192379951,1.844053877
2.073240042,2.084170015
2.017580032,2.206839198
1.952149987,2.607883167
1.956050038,2.213494014
1.96875,2.197246472
1.962890029,2.443417165
2.049799919,2.431594903
2.226560116,2.375308703
2.3759799,2.032050953
1.962890029,1.179107194
2.049799919,1.894044468
2.226560116,2.38174974
2.048830032,2.027244974
